dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
DJ30-D1.arff,15,100,50,6,0.980105072844763,0.965242998118796
DJ30-D1.arff,15,100,100,2,0.987197081117035,0.976761823796855
DJ30-D1.arff,15,100,100,3,0.981283506244567,0.968210402370146
DJ30-D1.arff,15,100,100,4,0.978623726187966,0.964134519797672
DJ30-D1.arff,15,100,100,5,0.983646823722546,0.972503159421827
DJ30-D1.arff,15,100,100,6,0.97897730067974,0.965343862193118
DJ30-D1.arff,15,100,200,2,0.979769622575943,0.966056743929984
DJ30-D1.arff,15,100,200,3,0.972562017737264,0.954984786260114
DJ30-D1.arff,15,100,200,4,0.978631057660264,0.964112840836703
DJ30-D1.arff,15,100,200,5,0.982146368022687,0.970092918969603
DJ30-D1.arff,15,100,200,6,0.982202409490737,0.969695809298463
GAS-D1.arff,15,20,50,2,0.784873177662205,0.823946184799955
GAS-D1.arff,15,20,50,3,0.79245120152714,0.794978930000887
GAS-D1.arff,15,20,50,4,0.791737526143935,0.823970365498919
GAS-D1.arff,15,20,50,5,0.807223706866513,0.84659253993913
GAS-D1.arff,15,20,50,6,0.805762757822047,0.838478954737078
GAS-D1.arff,15,20,100,2,0.803472938087649,0.772979905079799
GAS-D1.arff,15,20,100,3,0.797307964812481,0.801208708813312
GAS-D1.arff,15,20,100,4,0.802047181145589,0.846077763538893
GAS-D1.arff,15,20,100,5,0.805466358103872,0.832091012525396
GAS-D1.arff,15,20,100,6,0.803809906614621,0.790570392148009
GAS-D1.arff,15,20,200,2,0.8059987758957,0.806343566897464
GAS-D1.arff,15,20,200,3,0.810530134224952,0.843304522282032
GAS-D1.arff,15,20,200,4,0.801410577409887,0.833413222046377
GAS-D1.arff,15,20,200,5,0.80170427189951,0.828561109593429
GAS-D1.arff,15,20,200,6,0.800637539340032,0.818880773462241
GAS-D1.arff,15,50,50,2,0.807347988186535,0.840004800339187
GAS-D1.arff,15,50,50,3,0.802998365219807,0.830266405179326
GAS-D1.arff,15,50,50,4,0.798283525797291,0.827827424252341
GAS-D1.arff,15,50,50,5,0.806861646225703,0.832110549455152
GAS-D1.arff,15,50,50,6,0.803194369860963,0.797168668199198
GAS-D1.arff,15,50,100,2,0.80364410872599,0.835484731317749
GAS-D1.arff,15,50,100,3,0.814720188313107,0.849240028584993
GAS-D1.arff,15,50,100,4,0.814720344094604,0.848574056129702
GAS-D1.arff,15,50,100,5,0.808177916687415,0.833147878140843
GAS-D1.arff,15,50,100,6,0.802193004979255,0.827857058936672
GAS-D1.arff,15,50,200,2,0.818090396806642,0.847355047203085
